"C, kernel, gamma, degree",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'C':1, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.845,0.746,0.795,0.795,0.769,0.805,0.594,0.870,0.841
"'C':1, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.845,0.746,0.795,0.795,0.769,0.805,0.594,0.870,0.841
"'C':1, 'kernel':sigmoid, 'gamma':auto, 'degree': 3",0.845,0.745,0.795,0.795,0.769,0.805,0.594,0.870,0.842
"'C':1, 'kernel':sigmoid, 'gamma':auto, 'degree': 5",0.845,0.745,0.795,0.795,0.769,0.805,0.594,0.870,0.842
"'C':10, 'kernel':linear, 'gamma':scale, 'degree': 3",0.698,0.719,0.708,0.708,0.713,0.705,0.417,0.783,0.754
"'C':10, 'kernel':linear, 'gamma':scale, 'degree': 5",0.698,0.719,0.708,0.708,0.713,0.705,0.417,0.783,0.754
"'C':10, 'kernel':linear, 'gamma':auto, 'degree': 3",0.698,0.719,0.708,0.708,0.713,0.705,0.417,0.783,0.754
"'C':10, 'kernel':linear, 'gamma':auto, 'degree': 5",0.698,0.719,0.708,0.708,0.713,0.705,0.417,0.783,0.754
"'C':10, 'kernel':poly, 'gamma':scale, 'degree': 3",0.832,0.757,0.795,0.795,0.774,0.802,0.592,0.859,0.827
"'C':10, 'kernel':poly, 'gamma':scale, 'degree': 5",0.905,0.557,0.731,0.731,0.672,0.771,0.493,0.822,0.771
"'C':10, 'kernel':poly, 'gamma':auto, 'degree': 3",0.832,0.757,0.795,0.795,0.774,0.802,0.592,0.859,0.827
"'C':10, 'kernel':poly, 'gamma':auto, 'degree': 5",0.905,0.557,0.731,0.731,0.672,0.771,0.494,0.822,0.771
"'C':10, 'kernel':rbf, 'gamma':scale, 'degree': 3",0.818,0.774,0.796,0.796,0.784,0.800,0.593,0.870,0.844
"'C':10, 'kernel':rbf, 'gamma':scale, 'degree': 5",0.818,0.774,0.796,0.796,0.784,0.800,0.593,0.870,0.844
"'C':10, 'kernel':rbf, 'gamma':auto, 'degree': 3",0.818,0.774,0.796,0.796,0.784,0.801,0.593,0.870,0.844
"'C':10, 'kernel':rbf, 'gamma':auto, 'degree': 5",0.818,0.774,0.796,0.796,0.784,0.801,0.593,0.870,0.844
"'C':10, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.738,0.736,0.737,0.737,0.737,0.738,0.475,0.799,0.752
"'C':10, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.738,0.736,0.737,0.737,0.737,0.738,0.475,0.799,0.752
"'C':10, 'kernel':sigmoid, 'gamma':auto, 'degree': 3",0.741,0.741,0.741,0.741,0.741,0.741,0.481,0.802,0.755
"'C':10, 'kernel':sigmoid, 'gamma':auto, 'degree': 5",0.741,0.741,0.741,0.741,0.741,0.741,0.481,0.802,0.755
