"n_neighbors, weights, algorithm, leaf_size, p",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 1",0.758,0.714,0.736,0.736,0.726,0.741,0.472,0.820,0.790
"'n_neighbors':15, 'weights':uniform, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 2",0.752,0.708,0.730,0.730,0.721,0.736,0.461,0.810,0.779
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':auto, 'leaf_size': 50, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 30, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':ball_tree, 'leaf_size': 50, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 20, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 30, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 1",0.752,0.725,0.738,0.738,0.732,0.742,0.477,0.828,0.814
"'n_neighbors':15, 'weights':distance, 'algorithm':kd_tree, 'leaf_size': 50, 'p': 2",0.747,0.716,0.732,0.732,0.725,0.736,0.464,0.817,0.800
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 20, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 30, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
"'n_neighbors':30, 'weights':uniform, 'algorithm':auto, 'leaf_size': 50, 'p': 2",0.740,0.719,0.730,0.730,0.725,0.733,0.460,0.811,0.781
"'n_neighbors':30, 'weights':uniform, 'algorithm':ball_tree, 'leaf_size': 20, 'p': 1",0.748,0.719,0.733,0.733,0.727,0.737,0.467,0.816,0.787
