"C, kernel, gamma, degree",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'C':1, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.795,0.704,0.750,0.750,0.729,0.761,0.502,0.826,0.796
"'C':1, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.795,0.704,0.750,0.750,0.729,0.761,0.502,0.826,0.796
"'C':1, 'kernel':sigmoid, 'gamma':auto, 'degree': 3",0.794,0.705,0.749,0.749,0.729,0.760,0.501,0.827,0.796
"'C':1, 'kernel':sigmoid, 'gamma':auto, 'degree': 5",0.794,0.705,0.749,0.749,0.729,0.760,0.501,0.827,0.796
"'C':10, 'kernel':linear, 'gamma':scale, 'degree': 3",0.681,0.709,0.695,0.695,0.701,0.690,0.390,0.771,0.748
"'C':10, 'kernel':linear, 'gamma':scale, 'degree': 5",0.681,0.709,0.695,0.695,0.701,0.690,0.390,0.771,0.748
"'C':10, 'kernel':linear, 'gamma':auto, 'degree': 3",0.681,0.709,0.695,0.695,0.701,0.690,0.390,0.771,0.748
"'C':10, 'kernel':linear, 'gamma':auto, 'degree': 5",0.681,0.709,0.695,0.695,0.701,0.690,0.390,0.771,0.748
"'C':10, 'kernel':poly, 'gamma':scale, 'degree': 3",0.814,0.742,0.778,0.778,0.759,0.786,0.557,0.846,0.821
"'C':10, 'kernel':poly, 'gamma':scale, 'degree': 5",0.880,0.581,0.730,0.730,0.678,0.766,0.483,0.810,0.766
"'C':10, 'kernel':poly, 'gamma':auto, 'degree': 3",0.814,0.741,0.778,0.778,0.759,0.785,0.557,0.846,0.821
"'C':10, 'kernel':poly, 'gamma':auto, 'degree': 5",0.880,0.580,0.730,0.730,0.677,0.765,0.483,0.810,0.766
"'C':10, 'kernel':rbf, 'gamma':scale, 'degree': 3",0.796,0.763,0.779,0.779,0.771,0.783,0.559,0.861,0.842
"'C':10, 'kernel':rbf, 'gamma':scale, 'degree': 5",0.796,0.763,0.779,0.779,0.771,0.783,0.559,0.861,0.842
"'C':10, 'kernel':rbf, 'gamma':auto, 'degree': 3",0.796,0.763,0.779,0.779,0.771,0.783,0.559,0.861,0.843
"'C':10, 'kernel':rbf, 'gamma':auto, 'degree': 5",0.796,0.763,0.779,0.779,0.771,0.783,0.559,0.861,0.843
"'C':10, 'kernel':sigmoid, 'gamma':scale, 'degree': 3",0.695,0.690,0.692,0.692,0.692,0.693,0.385,0.757,0.718
"'C':10, 'kernel':sigmoid, 'gamma':scale, 'degree': 5",0.695,0.690,0.692,0.692,0.692,0.693,0.385,0.757,0.718
"'C':10, 'kernel':sigmoid, 'gamma':auto, 'degree': 3",0.697,0.688,0.692,0.692,0.691,0.694,0.385,0.759,0.720
"'C':10, 'kernel':sigmoid, 'gamma':auto, 'degree': 5",0.697,0.688,0.692,0.692,0.691,0.694,0.385,0.759,0.720
