"eta, max_depth, subsample, colsample_bytree, gamma, alpha, lambda",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'eta':0.001, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.790,0.617,0.704,0.704,0.674,0.727,0.414,0.775,0.746
"'eta':0.001, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.789,0.619,0.704,0.704,0.674,0.727,0.414,0.776,0.748
"'eta':0.001, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.789,0.618,0.704,0.704,0.674,0.727,0.414,0.775,0.746
"'eta':0.001, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.789,0.619,0.704,0.704,0.674,0.727,0.414,0.776,0.748
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.824,0.697,0.760,0.760,0.731,0.775,0.525,0.842,0.818
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.826,0.698,0.762,0.762,0.733,0.777,0.529,0.840,0.816
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.823,0.698,0.760,0.760,0.731,0.774,0.525,0.842,0.817
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.828,0.697,0.763,0.763,0.732,0.777,0.530,0.841,0.816
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.822,0.698,0.760,0.760,0.732,0.774,0.525,0.841,0.817
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.823,0.699,0.761,0.761,0.732,0.775,0.526,0.840,0.816
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.823,0.698,0.761,0.761,0.732,0.775,0.526,0.841,0.817
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.825,0.699,0.762,0.762,0.732,0.776,0.528,0.840,0.815
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.815,0.706,0.760,0.760,0.735,0.773,0.524,0.841,0.819
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.816,0.699,0.758,0.758,0.731,0.771,0.519,0.840,0.818
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.813,0.704,0.759,0.759,0.733,0.771,0.520,0.841,0.819
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.816,0.700,0.758,0.758,0.731,0.771,0.520,0.840,0.819
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.815,0.703,0.759,0.759,0.733,0.772,0.521,0.842,0.820
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.817,0.699,0.758,0.758,0.731,0.771,0.520,0.839,0.818
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.816,0.703,0.760,0.760,0.733,0.772,0.523,0.841,0.819
"'eta':0.001, 'max_depth':10, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.816,0.699,0.758,0.758,0.730,0.771,0.519,0.839,0.819
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.820,0.703,0.762,0.762,0.734,0.775,0.527,0.844,0.823
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.823,0.706,0.764,0.764,0.737,0.777,0.532,0.842,0.819
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.821,0.702,0.762,0.762,0.734,0.775,0.527,0.843,0.822
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.821,0.703,0.762,0.762,0.734,0.775,0.528,0.842,0.820
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.820,0.705,0.762,0.762,0.735,0.775,0.528,0.843,0.823
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.822,0.706,0.764,0.764,0.736,0.777,0.532,0.842,0.821
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.820,0.705,0.762,0.762,0.735,0.775,0.528,0.843,0.822
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.821,0.704,0.763,0.763,0.735,0.776,0.529,0.842,0.821
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.738,0.652,0.695,0.695,0.680,0.707,0.391,0.755,0.720
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.744,0.653,0.698,0.698,0.682,0.711,0.398,0.760,0.729
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.739,0.650,0.695,0.695,0.679,0.708,0.391,0.756,0.721
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.743,0.651,0.697,0.697,0.681,0.711,0.396,0.761,0.729
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.738,0.652,0.695,0.695,0.679,0.707,0.391,0.756,0.723
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.741,0.653,0.697,0.697,0.681,0.710,0.396,0.761,0.731
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.738,0.648,0.693,0.693,0.677,0.706,0.388,0.757,0.726
"'eta':0.001, 'max_depth':10, 'subsample':1.0, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.741,0.653,0.697,0.697,0.681,0.710,0.396,0.761,0.731
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.779,0.736,0.758,0.758,0.747,0.762,0.516,0.838,0.817
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.783,0.737,0.760,0.760,0.749,0.766,0.521,0.839,0.818
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.771,0.735,0.753,0.753,0.744,0.757,0.507,0.836,0.815
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.796,0.734,0.765,0.765,0.750,0.772,0.531,0.841,0.817
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.767,0.727,0.747,0.747,0.737,0.752,0.494,0.824,0.801
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.766,0.731,0.748,0.748,0.740,0.753,0.497,0.830,0.807
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.768,0.728,0.748,0.748,0.738,0.753,0.496,0.827,0.800
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.768,0.736,0.752,0.752,0.744,0.756,0.504,0.832,0.809
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.774,0.731,0.752,0.752,0.742,0.758,0.505,0.837,0.816
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.785,0.740,0.762,0.762,0.751,0.767,0.525,0.842,0.818
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.781,0.737,0.759,0.759,0.748,0.764,0.518,0.842,0.821
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.786,0.741,0.763,0.763,0.752,0.769,0.528,0.843,0.821
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.759,0.730,0.745,0.745,0.738,0.748,0.489,0.827,0.807
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0, 'lambda': 0.5",0.767,0.725,0.746,0.746,0.736,0.751,0.493,0.828,0.807
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0",0.762,0.718,0.740,0.740,0.730,0.746,0.481,0.827,0.805
"'eta':0.3, 'max_depth':6, 'subsample':0.6, 'colsample_bytree': 1.0, 'gamma': 5, 'alpha': 0.1, 'lambda': 0.5",0.764,0.740,0.752,0.752,0.747,0.755,0.505,0.830,0.808
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0",0.804,0.748,0.776,0.776,0.761,0.782,0.553,0.858,0.841
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0, 'lambda': 0.5",0.804,0.741,0.772,0.772,0.756,0.779,0.546,0.856,0.837
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0",0.804,0.748,0.776,0.776,0.761,0.782,0.553,0.858,0.842
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 0, 'alpha': 0.1, 'lambda': 0.5",0.804,0.745,0.774,0.774,0.759,0.781,0.550,0.857,0.839
"'eta':0.3, 'max_depth':6, 'subsample':1.0, 'colsample_bytree': 0.6, 'gamma': 5, 'alpha': 0, 'lambda': 0",0.783,0.726,0.755,0.755,0.741,0.761,0.510,0.837,0.818
