Classifier,Sensitivity,Specificity,Balanced Accuracy,Accuracy,Precision,F1-score,MCC,AUC,auPR
SVM,0.858,0.758,0.808,0.808,0.780,0.817,0.619,0.882,0.859
XGB,0.833,0.775,0.804,0.804,0.788,0.809,0.609,0.885,0.868
ET,0.844,0.757,0.801,0.801,0.777,0.809,0.604,0.882,0.858
MLP,0.792,0.775,0.784,0.784,0.779,0.785,0.568,0.865,0.842
PLS,0.857,0.676,0.766,0.766,0.726,0.786,0.542,0.837,0.796
LR,0.719,0.730,0.725,0.725,0.727,0.723,0.450,0.798,0.770
NB,0.719,0.708,0.713,0.713,0.711,0.715,0.427,0.780,0.708
RF,0.849,0.757,0.803,0.803,0.778,0.812,0.609,0.882,0.861
DT,0.720,0.715,0.718,0.718,0.716,0.718,0.435,0.718,0.656
KNN,0.757,0.733,0.745,0.745,0.739,0.748,0.490,0.812,0.767
